"exc_id";"beh_typ";"y";"m"
"LV1";"EXC";2013;6
"GB2";"BGR";2011;8
"GB2";"EXC";2011;6
"GB2";"BGR";2011;6
"LV2";"EXC";2011;6
"GB1";"BGR";2011;9
"GB1";"BGR";2013;6
"GB1";"EXC";2011;6
"GB1";"EXC";2011;9
"GB2";"BGR";2013;6
"LV2";"BGR";2013;6
"WD2";"BGR";2013;6
"GB1";"EXC";2011;8
"WD2";"EXC";2013;7
"LV2";"BGR";2013;8
"LV1";"BGR";2013;8
"GB2";"EXC";2013;8
"GB2";"BGR";2013;8
"WD1";"BGR";2013;7
"WD2";"EXC";2013;8
"WD1";"EXC";2013;8
"WD1";"EXC";2013;7
"LV1";"BGR";2013;7
"LV2";"EXC";2013;8
"LV2";"BGR";2013;7
"LV1";"EXC";2013;8
"LV1";"BGR";2013;6
"WD1";"BGR";2013;8
"LV1";"EXC";2013;7
"LV2";"EXC";2013;7
"LV2";"EXC";2013;9
"LV2";"EXC";2013;6
"WD2";"EXC";2013;9
"GB2";"EXC";2013;7
"WD1";"EXC";2013;9
"WD2";"EXC";2011;9
"GB2";"BGR";2013;7
"LV2";"EXC";2011;8
"LV1";"EXC";2011;8
"LV1";"EXC";2013;9
"WD1";"BGR";2013;6
"GB2";"EXC";2011;8
"WD2";"EXC";2013;6
"WD1";"BGR";2013;9
"LV1";"BGR";2011;9
"LV1";"EXC";2011;9
"WD1";"EXC";2011;8
"GB1";"EXC";2013;7
"LV2";"BGR";2011;8
"WD1";"EXC";2013;6
"GB1";"BGR";2013;7
"GB2";"EXC";2013;6
"LV2";"BGR";2013;9
"GB1";"EXC";2013;8
"WD2";"EXC";2011;8
"WD1";"BGR";2011;8
"LV2";"EXC";2011;9
"WD2";"EXC";2011;6
"GB2";"BGR";2011;9
"GB2";"BGR";2013;9
"GB1";"BGR";2013;8
"WD1";"EXC";2011;9
"LV1";"BGR";2011;8
"GB2";"EXC";2011;9
"WD1";"BGR";2011;9
"LV2";"BGR";2011;9
"GB1";"BGR";2013;9
"GB1";"BGR";2011;6
"GB2";"EXC";2013;9
"GB1";"EXC";2013;6
"WD2";"BGR";2011;6
"GB1";"EXC";2013;9
"WD1";"BGR";2011;6
"LV1";"BGR";2011;6
"LV2";"BGR";2011;6
"WD1";"EXC";2011;6
"LV1";"EXC";2011;6
"GB1";"BGR";2011;8
"GB1";"BGR";2012;6
"GB2";"BGR";2012;6
"LV2";"BGR";2012;6
"WD1";"BGR";2012;6
"GB1";"BGR";2012;7
"GB1";"EXC";2012;7
"GB2";"BGR";2012;7
"GB2";"EXC";2012;7
"LV1";"BGR";2012;7
"LV1";"EXC";2012;7
"LV2";"BGR";2012;7
"LV2";"EXC";2012;7
"WD1";"BGR";2012;7
"WD1";"EXC";2012;7
"WD2";"EXC";2012;7
"GB1";"BGR";2012;8
"GB2";"BGR";2012;8
"GB2";"EXC";2012;8
"LV1";"BGR";2012;8
"LV1";"EXC";2012;8
"LV2";"BGR";2012;8
"LV2";"EXC";2012;8
"WD1";"BGR";2012;8
"WD1";"EXC";2012;8
"WD2";"BGR";2012;8
"WD2";"EXC";2012;8
"GB1";"BGR";2012;9
"GB1";"EXC";2012;9
"GB2";"BGR";2012;9
"GB2";"EXC";2012;9
"LV1";"BGR";2012;9
"LV1";"EXC";2012;9
"LV2";"BGR";2012;9
"LV2";"EXC";2012;9
"WD1";"BGR";2012;9
"WD1";"EXC";2012;9
"WD2";"BGR";2012;9
"WD2";"EXC";2012;9
